,id,edad,sexo,area,distrito,ocupacion,imc,pas,pad,fc,fr,temp,spo2,glucosa,hba1c,creatinina,colesterol,leucocitos,tabaquismo,alcoholismo,sedentarismo,ant_familiar_dm,ant_familiar_hta,tiempo_enfermedad,diagnostico,sintoma_diarrea,sintoma_heridas_lentas,sintoma_dolor_abdominal,sintoma_poliuria,sintoma_cefalea,sintoma_dificultad_respiratoria,sintoma_deshidratacion,sintoma_tos,sintoma_polidipsia,sintoma_perdida_apetito,sintoma_vision_borrosa,sintoma_fiebre,sintoma_perdida_peso,sintoma_asintomatico,sintoma_polifagia,sintoma_nauseas,sintoma_escalofrios,sintoma_infecciones_frecuentes,sintoma_tinnitus,sintoma_debilidad,sintoma_palpitaciones,sintoma_vomitos,sintoma_malestar_general,sintoma_mareo,sintoma_dolor_garganta,sintoma_epistaxis,sintoma_congestion_nasal,sintoma_fatiga,sintoma_dolor_pecho
id,1.0,-0.004283967160971819,-0.003873209145786873,-0.002857515004502689,-0.00862392204912148,0.0064376880230856155,-0.0041074417402061775,-0.00943716598344461,-0.009328237183468873,0.0035022623610769226,0.002625053887179919,0.003952817564509536,0.00029753116974093324,0.0023276095655388592,0.004499834519501674,-0.008642350307268495,-0.010271662897593549,0.00559896330136269,0.0026801011352296346,0.0009578962915825539,0.004313976156971423,0.007447665558491549,0.006746566893298679,-0.006248976375274717,-0.011718150715136747,0.005017292292595444,0.0035522020415475006,0.022186869367994962,0.00190862063252697,0.0035336402028126263,-0.008234211923440898,0.005835028284328226,0.005386991144497426,-0.005400825287078368,0.009140963005695335,-0.004285231411766104,0.006739384534950389,0.0006644091053117278,-0.0007996996609945924,-0.006013317637728468,0.005170991373368687,-0.002451182417294574,0.0014327338753807148,-0.01336009129766814,0.009566612366337412,-0.0008557542839212296,0.006837301593035179,-0.017896449102816927,-0.007671783034116436,-0.0007277198839908255,-0.0035968947776314083,-0.009542588432545308,-0.005400951056543814,-0.01138797647253057
edad,-0.004283967160971819,1.0,0.009509644034946533,0.0007388097579595176,-0.0031568120226216577,0.15709731109753783,0.3294370041022578,0.40745816879527214,0.39298237567305366,-0.3373435943192112,-0.3366986013954556,-0.4128613352135362,0.248202477242482,0.30417598359646814,0.2982859346467031,0.22619107458403098,0.3799128718957205,-0.35231518184762645,0.08488219827166166,0.002500000639152524,0.12447121440189955,0.1129684204548331,0.10467826485320286,0.288065687300414,-0.22461556421580284,-0.19711188889427944,0.14058315764722323,-0.19759132898598578,0.15229239237501807,-0.04856400110172337,-0.18979912348157255,-0.19656306029029053,-0.29705265133419645,0.15058207791105682,-0.20447202098815168,0.20288224983279712,-0.2984623785975011,0.15053288974170204,0.19633697621624907,0.14561901992385726,-0.1959418086176117,-0.18847564435736833,0.14003313903467113,0.15681488994942938,-0.20075669821916486,0.12988697954998096,-0.19821845498950627,-0.18929048031759077,0.16428224721917556,-0.1924203375592859,0.14073308219423192,-0.19508179028245567,0.19976016009736433,-0.1979465217076961
sexo,-0.003873209145786873,0.009509644034946533,1.0,-0.00034478191675038595,0.01026730174114798,-0.0011903102116686713,-0.003775849594151014,-0.0033260350901992805,-0.0016075737731130705,-0.0074294931515685916,0.003336549940598255,-0.010092006854050355,0.007150160501892202,0.01875530779807115,0.019444160167378707,0.0034995993842540903,0.0037161726071242318,0.0009230238631599153,0.002335273843975447,0.01165066379284685,-0.006555229090752713,0.010580314454685694,-0.0025692390351794176,0.006535024246915144,-0.01954259431500121,0.0013570373305043077,0.013100867132246997,-0.00564908097667944,0.010215888373307615,-0.005982218419504112,-0.0030460304347461682,0.010233652349577814,0.0027870287542584504,0.009799696519893385,0.006895350392034594,-0.003986939879401676,-0.007670959670106572,0.01071713308986824,0.00669839193518065,0.002292315340190263,0.00596587411244691,-0.003240071778152736,0.01638145630065518,-0.00828556862877195,-0.000923632308000763,0.0019402282515521543,0.007302083831232334,-0.0029757294332462916,-0.0003037525084324427,-0.009619428986298322,-0.01069469458699472,-0.00970695065212973,0.004447960534857545,-0.01806664775720306
area,-0.002857515004502689,0.0007388097579595176,-0.00034478191675038595,1.0,-6.552563528254362e-05,-0.012076499553550784,0.002300125551782909,0.0040151652384765694,0.0037662773221642854,-0.0013412452915862877,0.013995240238596017,0.0003529572398956967,-0.007671408843432235,0.00983425388404105,0.0047747397664410635,-0.0035259942668475867,0.0034901333711390152,-0.00623634657243372,0.0013412348968206082,0.016780217769944053,0.011371389707692369,-0.0033999813851385285,0.008031499445710494,0.0032513236403119254,-0.003186505734829763,0.0023754186502103467,0.0036487469532247435,-0.016589891923659426,-0.004752614899250599,-0.0011127316032084069,0.002044954610781077,-0.003997237993270353,-0.006439820279108417,-0.007350566684917768,-0.0066760550178275825,0.0087933404657263,0.004927710570272688,0.0038312165615815986,0.009128251122887336,0.0044420950931373425,-0.00963978240653006,0.011533490249082849,0.0017550110391711235,-0.000982695772123954,-0.007226186314052019,-0.006551913881086818,-0.0077701189384268765,0.0007624811758139149,-0.011228298513340396,0.0021942426351370115,-0.004439849419759567,0.004939856579715715,0.0019236808698292623,-0.0021977896347910304
distrito,-0.00862392204912148,-0.0031568120226216577,0.01026730174114798,-6.552563528254362e-05,1.0,0.001575294854062006,-0.009788048591806512,-0.012955846704750128,-0.00037465877317909414,0.007950772995661826,-0.0013214648589658698,0.00786525966670915,0.001120955393186761,0.0013257555965340367,0.0014378312414348438,-0.002805294869759312,-0.003984808011516712,0.009229471786694062,-0.0006655858330605658,-0.001957085773980885,-0.012336338957086183,-0.0014792462076290874,-0.008184473538052248,-0.0074882338594432305,0.004535447330459051,0.000282316878587894,-0.009102811231093631,0.006513648266280597,0.0021845160721216993,0.0019684155079423196,-0.0012867911546078246,0.004871730668717587,0.007220475163916895,-0.0015780732582145129,0.009137475885355281,-0.006304089742331185,0.014513935984213694,-0.0029510019585225404,-0.007422495292258898,0.001993080384426071,-2.3681233903102276e-05,0.009421954518793827,-0.0026983132050643326,-0.0015452512334176952,-0.0015927435183755482,0.0002750638961399794,0.004609819447241622,0.001153749163989598,0.005918618622834757,7.361307347776962e-05,-0.0014442377980175246,-0.003567850528571956,-0.0011428418854717288,-0.0013400838204397927
ocupacion,0.0064376880230856155,0.15709731109753783,-0.0011903102116686713,-0.012076499553550784,0.001575294854062006,1.0,0.017663515833084044,0.019732847183439248,0.022427369758008787,-0.014637323815874103,-0.006416697575741553,-0.010706688885138484,-0.00557006047283828,0.012389983144035183,0.011407434527516276,0.0014344864834235581,0.014629401537609044,-0.0013669607426421207,0.008715134832410688,0.007460625587438779,0.011493089725455355,0.005894857014132749,0.0074410700256837365,0.011926737887435822,0.008520375671121273,-0.01372193077390617,0.0018173411817348527,-0.02145840516238992,0.006080041216896248,0.006747331236314471,0.00012008431049634636,-0.02388854527778783,-0.017335842243698902,0.004134528135952363,-0.020237752079126634,0.009588547803317164,-0.006160199687485699,0.0017721507773461574,0.008989608908436041,0.005606922914591886,-0.03496168879636993,0.011069889721479374,0.008825191960900182,0.0012510644414484493,-0.018052946384398787,0.0018658882229872263,-0.02512811540631488,0.012562754665725694,0.001510672679220208,0.007416293158027251,0.009718298400656791,0.009855290599035282,0.0016030840111425607,0.006857279791836749
imc,-0.0041074417402061775,0.3294370041022578,-0.003775849594151014,0.002300125551782909,-0.009788048591806512,0.017663515833084044,1.0,0.5099714881390907,0.4970584969605795,-0.4243120525746661,-0.4522127515598026,-0.5433884980735995,0.34891301838715183,0.38789310841633917,0.386342982472493,0.30681135596525644,0.47374043036286967,-0.47244243774910555,0.11110182778409801,0.020664313713353075,0.16721423294983478,0.1448502899651497,0.11844783086053999,0.3711160414801452,-0.32631197263255346,-0.21571398027926467,0.1674180432737348,-0.22194285134351832,0.1926377785265356,-0.08306629513285038,-0.28337556884975734,-0.22246137669896376,-0.3891256541057175,0.1884697389533109,-0.22528180297774594,0.26088225583370633,-0.3739277079037841,0.19936336705516436,0.25949523154916815,0.1752906595896934,-0.2106709957849609,-0.2759347145653538,0.1870991086201732,0.20000136573088845,-0.2161144999181918,0.17364824855210856,-0.2319186201306873,-0.2741997804889482,0.21362521407204543,-0.2793651415823048,0.16894123930498417,-0.27781691876973147,0.2616461077668349,-0.29097669216023225
pas,-0.00943716598344461,0.40745816879527214,-0.0033260350901992805,0.0040151652384765694,-0.012955846704750128,0.019732847183439248,0.5099714881390907,1.0,0.8109789764720704,-0.5289882114980425,-0.48364514267315106,-0.6412339360701896,0.3145783037161447,0.1884097592342435,0.17954855302010428,0.35410128431906684,0.5331590791701821,-0.5261309085903926,0.13116706075292484,0.02090971346470641,0.20422090016305317,0.02581332265303883,0.2638066915182041,0.4367488394025007,-0.03242679200633827,-0.34548430938241403,0.028700534021237727,-0.3544247626964328,0.031991732824381135,0.0883704729543582,-0.2610319095269816,-0.3485626121421607,-0.4613177768725925,0.030010919402245127,-0.3563194612488424,0.294578014699969,-0.4474939990630009,0.03394119756380042,0.32801138119856665,0.02786344883467036,-0.3466741278925883,-0.2635264417418021,0.026665429835443337,0.4180581346655623,-0.34982011440802,0.34428061202161153,-0.35652373098930684,-0.26528521333257316,0.4466918707359829,-0.2637732383612435,0.3653839200741016,-0.26387433729301146,0.3076295482586631,-0.2664887781857063
pad,-0.009328237183468873,0.39298237567305366,-0.0016075737731130705,0.0037662773221642854,-0.00037465877317909414,0.022427369758008787,0.4970584969605795,0.8109789764720704,1.0,-0.5152464177511707,-0.47994281384366666,-0.6274938138369207,0.31023120968640927,0.15575295732431008,0.1469884131065807,0.3508657298640055,0.5090676661638556,-0.5127446219285725,0.12576294740118796,0.019332956302951364,0.18377381137033164,0.012867252878195807,0.2698946329072094,0.42565212395004265,-0.01688861980577303,-0.3219896772618992,0.012755093214605388,-0.33159082496928416,0.006859914069896735,0.08459370082658751,-0.26520756765288833,-0.32639123408305853,-0.44529568512464685,0.010143541221406857,-0.3338478845793298,0.28838000790127394,-0.4313982184857872,0.011226331895555998,0.31925944069465684,0.010769133727305258,-0.32192861096433983,-0.2652290035881657,0.008006735030337974,0.41886240177880324,-0.32821071560722276,0.35113292278971636,-0.33644661095780026,-0.2695637213764961,0.45014481233605913,-0.2641104943376898,0.3696025497807774,-0.2679600357585344,0.2990341360383669,-0.2678090162659206
fc,0.0035022623610769226,-0.3373435943192112,-0.0074294931515685916,-0.0013412452915862877,0.007950772995661826,-0.014637323815874103,-0.4243120525746661,-0.5289882114980425,-0.5152464177511707,1.0,0.42766155750987894,0.5329464228812045,-0.32084834550195873,-0.38764268033461485,-0.3785675772648915,-0.29221395464048056,-0.48317632356164913,0.4616601677252974,-0.11351251494392216,-0.00857664901297473,-0.17068410349147128,-0.12663705873453518,-0.13390006514646255,-0.3741542505783167,0.2824536311561699,0.2539230910550901,-0.16302641482062893,0.2622255876942086,-0.1909453336042314,0.058349447592111484,0.24524272290339527,0.2556529080388778,0.3818728800105957,-0.1874693294310848,0.25854405408702347,-0.26291308288430276,0.3782997483575892,-0.1903015361421002,-0.25547189137412524,-0.17615669599477593,0.24791520359108732,0.2511050747456875,-0.1712032805876627,-0.20394992349350982,0.2601284757492885,-0.16852456660841375,0.2596541315741659,0.24994602090914234,-0.21934011157327582,0.2518959527669334,-0.18589939206571027,0.25507306523170825,-0.25747816366001197,0.24867006479177103
fr,0.002625053887179919,-0.3366986013954556,0.003336549940598255,0.013995240238596017,-0.0013214648589658698,-0.006416697575741553,-0.4522127515598026,-0.48364514267315106,-0.47994281384366666,0.42766155750987894,1.0,0.6723922578935396,-0.5696931080588278,-0.3922810842209646,-0.4136070310993067,-0.4234253236359212,-0.46406588526194,0.5835855394474436,-0.12417445626417833,-0.013840198879017015,-0.16897021317422403,-0.14367766861862943,-0.13841652097211207,-0.3987492155556175,0.5580342874993537,0.034328355719324646,-0.18699202551542057,0.026198328282459483,-0.21005900415628576,0.23073963150895724,0.454674891442229,0.027066021264470146,0.3994016930346729,-0.20533898579133214,0.025305834285831594,-0.2769886531178022,0.407353085430355,-0.2068346233915233,-0.27441375738443247,-0.19628370164729858,0.02245565310765855,0.4665867026809971,-0.19730433382404708,-0.21185053146285282,0.025464146349501494,-0.17373945572856594,0.02780038424977496,0.4574246663471663,-0.22677622982963389,0.4635564307537678,-0.18549321836912852,0.46869530503404483,-0.2746072368397843,0.4731052026656448
temp,0.003952817564509536,-0.4128613352135362,-0.010092006854050355,0.0003529572398956967,0.00786525966670915,-0.010706688885138484,-0.5433884980735995,-0.6412339360701896,-0.6274938138369207,0.5329464228812045,0.6723922578935396,1.0,-0.5883708327458533,-0.45266711626370687,-0.4681381722846588,-0.4693412600869613,-0.578998067867223,0.6634954115352688,-0.14266692144751583,-0.018953278554196748,-0.20694786975226323,-0.16564394669921412,-0.18270874414200927,-0.47780781503967795,0.5391299501178141,0.12741577273621332,-0.20067343832228202,0.13375163572708726,-0.2265650052307405,0.1851430402599196,0.48363205416915933,0.1314920285724485,0.49110006845986215,-0.2274660896119289,0.14283073724853698,-0.3340284764711761,0.48139519325767827,-0.22699365395891039,-0.3349890626469988,-0.21352585443363903,0.1357176295414854,0.4724251074285044,-0.21385301032729925,-0.2757146973083905,0.13753077114259876,-0.23268096354848883,0.14129264495783275,0.4903734445205662,-0.2983357927334525,0.4720578805803226,-0.24186060553917943,0.4781138165848396,-0.3294715748603326,0.4901690581676776
spo2,0.00029753116974093324,0.248202477242482,0.007150160501892202,-0.007671408843432235,0.001120955393186761,-0.00557006047283828,0.34891301838715183,0.3145783037161447,0.31023120968640927,-0.32084834550195873,-0.5696931080588278,-0.5883708327458533,1.0,0.33118382235540744,0.3685010529136786,0.410292954543738,0.34365185615327576,-0.5310712825755814,0.09926431918116096,0.01017672272011758,0.14051838219830706,0.13963301418088395,0.08719375254692598,0.31008873635176026,-0.6374055113641958,0.13225716550245747,0.16612910390791824,0.14368780859251187,0.1929576913870303,-0.29591666126111077,-0.49412178684897906,0.13243795688850418,-0.3086762958108494,0.19112135700980276,0.14152846205884606,0.2228734696826155,-0.3216184962268939,0.19052292790643988,0.21489728725615856,0.1768541210835662,0.13741991843780227,-0.49530515973253963,0.1829830877446963,0.1446690206504947,0.13471946657402575,0.12191966408415933,0.13833167677107758,-0.487617587178543,0.15424030255548682,-0.48817728282865597,0.13316303174743446,-0.5012764321045664,0.21571879535787397,-0.4946115443859375
glucosa,0.0023276095655388592,0.30417598359646814,0.01875530779807115,0.00983425388404105,0.0013257555965340367,0.012389983144035183,0.38789310841633917,0.1884097592342435,0.15575295732431008,-0.38764268033461485,-0.3922810842209646,-0.45266711626370687,0.33118382235540744,1.0,0.7840723241078801,0.22135274735819357,0.538258064535752,-0.4136682096455998,0.10468440713705064,0.014197621924666443,0.1436056948802167,0.34551020239051194,-0.05783659231140592,0.3373930571147108,-0.6830829930246128,-0.22801520213849055,0.4224562734812679,-0.2318609053865912,0.49062982059559823,-0.25753509972546085,-0.23181140620740556,-0.22921688449558156,-0.3492520470405232,0.4877717165791387,-0.23382578164672005,0.2583163152037129,-0.3449006381598961,0.4902441654486281,0.1998952156631248,0.4536506480369528,-0.22743789969996864,-0.229993872406231,0.4569662575489562,-0.0890169173693842,-0.2305808401725467,-0.07138671063456291,-0.23530230498605315,-0.22990677283462677,-0.09732184482167679,-0.23014945091711322,-0.07484622019697469,-0.2308487656695947,0.23251773231193495,-0.22906722004190785
hba1c,0.004499834519501674,0.2982859346467031,0.019444160167378707,0.0047747397664410635,0.0014378312414348438,0.011407434527516276,0.386342982472493,0.17954855302010428,0.1469884131065807,-0.3785675772648915,-0.4136070310993067,-0.4681381722846588,0.3685010529136786,0.7840723241078801,1.0,0.2394659758071804,0.5281573452175823,-0.4298440800060007,0.10101819268233633,0.006583959744408368,0.14103592365358336,0.33880060915137006,-0.05752524098581113,0.335641904426607,-0.714691981189665,-0.18949244486893915,0.42682590058667913,-0.1958468074293155,0.48365820770239754,-0.27714498877555,-0.259783279645588,-0.19097602985978837,-0.34628972665496693,0.4826035656402437,-0.19627473678743063,0.25824383574509285,-0.34289907432075145,0.473438095181091,0.19866539393038496,0.4514843777875731,-0.19067495553712824,-0.2627227939402475,0.4527328849674989,-0.08790857108517434,-0.19178907186156652,-0.06970096764761917,-0.19334962355268956,-0.26058522742137,-0.09323856555108324,-0.26066792163860114,-0.07499351990225869,-0.2614280532022228,0.23609149678531527,-0.26074659551871077
creatinina,-0.008642350307268495,0.22619107458403098,0.0034995993842540903,-0.0035259942668475867,-0.002805294869759312,0.0014344864834235581,0.30681135596525644,0.35410128431906684,0.3508657298640055,-0.29221395464048056,-0.4234253236359212,-0.4693412600869613,0.410292954543738,0.22135274735819357,0.2394659758071804,1.0,0.305826519969341,-0.40905409599581805,0.08217180356462157,0.010804152925648014,0.1146974649084087,0.07933701534423104,0.10784476306780853,0.26756010747836084,-0.36520865012574005,0.003978470079802158,0.11388335662855714,-0.003541495970659516,0.11048723331010239,-0.14705635341171278,-0.33840615698950877,0.006584879996303112,-0.2699703246720315,0.11507707485696657,0.0051163846398757425,0.186565833534995,-0.2694664234755905,0.11823368711457727,0.18110155523445443,0.10313170179358315,0.011503122008857967,-0.3386606220022439,0.10824811188652625,0.1838397581318536,0.009198985657040411,0.14049946071930447,0.011362546580589786,-0.3381694600407327,0.1869812327365773,-0.33703937274216295,0.14819349435339108,-0.3378238852122952,0.18361827590965377,-0.33613418002443546
colesterol,-0.010271662897593549,0.3799128718957205,0.0037161726071242318,0.0034901333711390152,-0.003984808011516712,0.014629401537609044,0.47374043036286967,0.5331590791701821,0.5090676661638556,-0.48317632356164913,-0.46406588526194,-0.578998067867223,0.34365185615327576,0.538258064535752,0.5281573452175823,0.305826519969341,1.0,-0.49982443651205516,0.12342994939116626,0.01289144799372665,0.1727864539785827,0.20525274323472043,0.1060557681131477,0.4190642999261182,-0.38942959486375656,-0.3118826607071532,0.24891392258671124,-0.3164596446337156,0.2839188966093423,-0.09137296762133139,-0.26403865404906396,-0.31053201305878747,-0.43309615759057024,0.2769566537807229,-0.31996606505011277,0.29642086648473687,-0.4223593404353,0.28528511254406647,0.2887627053401989,0.2609961873558649,-0.311799470013896,-0.2621725807202103,0.2587916568855069,0.16373942048096413,-0.3201429547617305,0.13611233534457157,-0.3244735311464306,-0.2544516819454399,0.1796642033155252,-0.2569359228602924,0.14221048117271162,-0.25864649212096896,0.2928276198054619,-0.26118476890553816
